1-0-3-7-5-8	万
1-0-4-0-2-9	宁
1-0-4-0-3-0	它
1-0-4-0-3-1	宇
1-0-4-0-3-2	宋
1-0-4-0-3-3	宏
1-0-4-0-3-4	定
1-0-4-0-3-5	客
1-0-4-0-3-6	室
1-0-4-0-3-7	宪
1-0-4-0-3-8	宰
1-0-4-0-3-9	宴
1-0-4-0-4-0	家
1-0-4-0-4-1	容
1-0-4-0-4-2	密
1-0-4-0-4-3	寝
1-0-4-0-4-4	寡
1-0-4-0-4-5	寬
1-0-4-0-4-6	封
1-0-4-0-4-7	将
1-0-4-0-4-8	尉
1-0-4-0-4-9	小
1-0-4-0-5-0	尹
1-0-4-0-5-1	尺
1-0-4-0-5-2	尽
1-0-4-0-5-3	居
1-0-4-0-5-4	屋
1-0-4-0-5-5	属
1-0-4-0-5-6	山
1-0-4-0-5-7	岁
1-0-4-0-5-8	岩
1-0-4-0-5-9	岭
1-0-4-0-6-0	岳
1-0-4-0-6-1	峰
1-0-4-0-6-2	崔
1-0-4-0-6-3	崖
1-0-4-0-6-4	崟
1-0-4-0-6-5	崽
1-0-4-0-6-6	巅
1-0-4-0-6-7	州
1-0-4-0-6-8	工
1-0-4-0-6-9	左
1-0-4-0-7-0	巩
1-0-4-0-7-1	差
1-0-4-0-7-2	已
1-0-4-0-7-3	巷
1-0-4-0-7-4	布
1-0-4-0-7-5	师
1-0-4-0-7-6	帐
1-0-4-0-7-7	帝
1-0-4-0-7-8	带
1-0-4-0-7-9	帮
1-0-4-0-8-0	帷
1-0-4-0-8-1	常
1-0-4-0-8-2	幂
1-0-4-0-8-3	并
1-0-4-0-8-4	广
1-0-4-0-8-5	床
1-0-4-0-8-6	底
1-0-4-0-8-7	店
1-0-4-0-8-8	庙
1-0-4-0-8-9	开
1-0-4-0-9-0	弄
1-0-4-0-9-1	弘
1-0-4-0-9-2	张
1-0-4-0-9-3	弹
1-0-4-0-9-4	强
1-0-4-0-9-5	归
1-0-4-0-9-6	录
1-0-4-0-9-7	彩
1-0-4-0-9-8	彪
1-0-4-0-9-9	彬
1-0-4-1-0-0	彭
1-0-4-1-0-1	微
1-0-4-1-0-2	心
1-0-4-1-0-3	忌
1-0-4-1-0-4	忒
1-0-4-1-0-5	志
1-0-4-1-0-6	忠
1-0-4-1-0-7	快
1-0-4-1-0-8	怂
1-0-4-1-0-9	怄
1-0-4-1-1-0	性
1-0-4-1-1-1	怪
1-0-4-1-1-2	总
1-0-4-1-1-3	恁
1-0-4-1-1-4	恐
1-0-4-1-1-5	恒
1-0-4-1-1-6	恤
1-0-4-1-1-7	恨
1-0-4-1-1-8	恬
1-0-4-1-1-9	恶
1-0-4-1-2-0	恺
1-0-4-1-2-1	悄
1-0-4-1-2-2	悔
1-0-4-1-2-3	悟
1-0-4-1-2-4	悦
1-0-4-1-2-5	情
1-0-4-1-2-6	惜
1-0-4-1-2-7	惟
1-0-4-1-2-8	惠
1-0-4-1-2-9	惨
1-0-4-1-3-0	惹
1-0-4-1-3-1	意
1-0-4-1-3-2	感
1-0-4-1-3-3	愿
1-0-4-1-3-4	慈
1-0-4-1-3-5	慎
1-0-4-1-3-6	慕
1-0-4-1-3-7	慨
1-0-4-1-3-8	憨
1-0-4-1-3-9	懒
1-0-4-1-4-0	或
1-0-4-1-4-1	截
1-0-4-1-4-2	才
1-0-4-1-4-3	扔
1-0-4-1-4-4	托
1-0-4-1-4-5	扣
1-0-4-1-4-6	扫
1-0-4-1-4-7	扭
1-0-4-1-4-8	扶
1-0-4-1-4-9	批
1-0-4-1-5-0	抄
1-0-4-1-5-1	把
1-0-4-1-5-2	投
1-0-4-1-5-3	抢
1-0-4-1-5-4	披
1-0-4-1-5-5	招
1-0-4-1-5-6	拜
1-0-4-1-5-7	择
1-0-4-1-5-8	拼
1-0-4-1-5-9	拽
1-0-4-1-6-0	拾
1-0-4-1-6-1	拿
1-0-4-1-6-2	挂
1-0-4-1-6-3	按
1-0-4-1-6-4	挙
1-0-4-1-6-5	挤
1-0-4-1-6-6	挨
1-0-4-1-6-7	挺
1-0-4-1-6-8	挽
1-0-4-1-6-9	捏
1-0-4-1-7-0	捐
1-0-4-1-7-1	换
1-0-4-1-7-2	掉
1-0-4-1-7-3	排
1-0-4-1-7-4	揉
1-0-4-1-7-5	接
1-0-4-1-7-6	推
1-0-4-1-7-7	揍
1-0-4-1-7-8	插
1-0-4-1-7-9	搜
1-0-4-1-8-0	摆
1-0-4-1-8-1	摇
1-0-4-1-8-2	摊
1-0-4-1-8-3	摔
1-0-4-1-8-4	摸
1-0-4-1-8-5	撂
1-0-4-1-8-6	撇
1-0-4-1-8-7	撞
1-0-4-1-8-8	撤
1-0-4-1-8-9	播
1-0-4-1-9-0	擦
1-0-4-1-9-1	攒
1-0-4-1-9-2	攰
1-0-4-1-9-3	收
1-0-4-1-9-4	敏
1-0-4-1-9-5	救
1-0-4-1-9-6	敢
1-0-4-1-9-7	数
1-0-4-1-9-8	文
1-0-4-1-9-9	斑
1-0-4-2-0-0	斗
1-0-4-2-0-1	斧
1-0-4-2-0-2	施
1-0-4-2-0-3	旁
1-0-4-2-0-4	旋
1-0-4-2-0-5	旦
1-0-4-2-0-6	早
1-0-4-2-0-7	旱
1-0-4-2-0-8	昂
1-0-4-2-0-9	畏
1-0-4-2-1-0	昌
1-0-4-2-1-1	明
1-0-4-2-1-2	易
1-0-4-2-1-3	昝
1-0-4-2-1-4	星
1-0-4-2-1-5	晒
1-0-4-2-1-6	晾
1-0-4-2-1-7	暖
1-0-4-2-1-8	喑
1-0-4-2-1-9	曰
1-0-4-2-2-0	曹
1-0-4-2-2-1	曾
1-0-4-2-2-2	替
1-0-4-2-2-3	冃
1-0-4-2-2-4	有
1-0-4-2-2-5	朋
1-0-4-2-2-6	期
1-0-4-2-2-7	札
1-0-4-2-2-8	朱
1-0-4-2-2-9	机
1-0-4-2-3-0	来
1-0-4-2-3-1	林
1-0-4-2-3-2	枪
1-0-4-2-3-3	架
1-0-4-2-3-4	柄
1-0-4-2-3-5	栏
1-0-4-2-3-6	查
1-0-4-2-3-7	柳
1-0-4-2-3-8	柿
1-0-4-2-3-9	树
1-0-4-2-4-0	样
1-0-4-2-4-1	根
1-0-4-2-4-2	格
1-0-4-2-4-3	桔
1-0-4-2-4-4	桢
1-0-4-2-4-5	桥
1-0-4-2-4-6	梁
1-0-4-2-4-7	梅
1-0-4-2-4-8	梦
1-0-4-2-4-9	梯
1-0-4-2-5-0	棒
1-0-4-2-5-1	森
1-0-4-2-5-2	椰
1-0-4-2-5-3	椿
1-0-4-2-5-4	業
1-0-4-2-5-5	楼
1-0-4-2-5-6	概
1-0-4-2-5-7	榴
1-0-4-2-5-8	樊
1-0-4-2-5-9	欢
1-0-4-2-6-0	欣
1-0-4-2-6-1	欻
1-0-4-2-6-2	歌
1-0-4-2-6-3	此
1-0-4-2-6-4	武
1-0-4-2-6-5	歪
1-0-4-2-6-6	疆
1-0-4-2-6-7	毅
1-0-4-2-6-8	毓
1-0-4-2-6-9	毕
1-0-4-2-7-0	毛
1-0-4-2-7-1	氯
1-0-4-2-7-2	朴
1-0-4-2-7-3	汇
1-0-4-2-7-4	汐
1-0-4-2-7-5	汕
1-0-4-2-7-6	汇
1-0-4-2-7-7	池
1-0-4-2-7-8	汤
1-0-4-2-7-9	沈
1-0-4-2-8-0	没
1-0-4-2-8-1	沙
1-0-4-2-8-2	沾
1-0-4-2-8-3	波
1-0-4-2-8-4	泥
1-0-4-2-8-5	泰
1-0-4-2-8-6	泽
1-0-4-2-8-7	诜
1-0-4-2-8-8	津
1-0-4-2-8-9	洲
1-0-4-2-9-0	浆
1-0-4-2-9-1	浇
1-0-4-2-9-2	济
1-0-4-2-9-3	浮
1-0-4-2-9-4	消
1-0-4-2-9-5	涌
1-0-4-2-9-6	涧
1-0-4-2-9-7	涨
1-0-4-2-9-8	涪
1-0-4-2-9-9	涵
1-0-4-3-0-0	涼
1-0-4-3-0-1	淄
1-0-4-3-0-2	淋
1-0-4-3-0-3	淌
1-0-4-3-0-4	淡
1-0-4-3-0-5	淳
1-0-4-3-0-6	混
1-0-4-3-0-7	添
1-0-4-3-0-8	请
1-0-4-3-0-9	渐
1-0-4-3-1-0	渝
1-0-4-3-1-1	渠
1-0-4-3-1-2	渤
1-0-4-3-1-3	温
1-0-4-3-1-4	湜
1-0-4-3-1-5	湿
1-0-4-3-1-6	源
1-0-4-3-1-7	溜
1-0-4-3-1-8	滋
1-0-4-3-1-9	滚
1-0-4-3-2-0	滤
1-0-4-3-2-1	演
1-0-4-3-2-2	潶
1-0-4-3-2-3	谰
1-0-4-3-2-4	瀚
1-0-4-3-2-5	灭
1-0-4-3-2-6	灯
1-0-4-3-2-7	灵
1-0-4-3-2-8	灿
1-0-4-3-2-9	炊
1-0-4-3-3-0	炖
1-0-4-3-3-1	炜
1-0-4-3-3-2	炫
1-0-4-3-3-3	点
1-0-4-3-3-4	炼
1-0-4-3-3-5	烈
1-0-4-3-3-6	烟
1-0-4-3-3-7	烫
1-0-4-3-3-8	焕
1-0-4-3-3-9	煮
1-0-4-3-4-0	熟
1-0-4-3-4-1	熱
1-0-4-3-4-2	熹
1-0-4-3-4-3	燕
1-0-4-3-4-4	燥
1-0-4-3-4-5	爆
1-0-4-3-4-6	爵
1-0-4-3-4-7	爸
1-0-4-3-4-8	爽
1-0-4-3-4-9	片
1-0-4-3-5-0	版
1-0-4-3-5-1	中
1-0-4-3-5-2	牧
1-0-4-3-5-3	牵
1-0-4-3-5-4	狐
1-0-4-3-5-5	狠
1-0-4-3-5-6	狰
1-0-4-3-5-7	猎
1-0-4-3-5-8	猜
1-0-4-3-5-9	率
1-0-4-3-6-0	玉
1-0-4-3-6-1	王
1-0-4-3-6-2	玩
1-0-4-3-6-3	环
1-0-4-3-6-4	现
1-0-4-3-6-5	玲
1-0-4-3-6-6	珈
1-0-4-3-6-7	珍
1-0-4-3-6-8	珣
1-0-4-3-6-9	珪
1-0-4-3-7-0	理
1-0-4-3-7-1	琋
1-0-4-3-7-2	琴
1-0-4-3-7-3	堤
1-0-4-3-7-4	瑞
1-0-4-3-7-5	璟
1-0-4-3-7-6	璠
1-0-4-3-7-7	瓜
1-0-4-3-7-8	瓷
1-0-4-3-7-9	甘
1-0-4-3-8-0	甜
1-0-4-3-8-1	甩
1-0-4-3-8-2	甭
1-0-4-3-8-3	田
1-0-4-3-8-4	由
1-0-4-3-8-5	画
1-0-4-3-8-6	留
1-0-4-3-8-7	疏
1-0-4-3-8-8	疯
1-0-4-3-8-9	疼
1-0-4-3-9-0	病
1-0-4-3-9-1	痒
1-0-4-3-9-2	痞
1-0-4-3-9-3	瘫
1-0-4-3-9-4	瘸
1-0-4-3-9-5	發
1-0-4-3-9-6	盐
1-0-4-3-9-7	盖
1-0-4-3-9-8	盗
1-0-4-3-9-9	盘
1-0-4-4-0-0	盟
1-0-4-4-0-1	盯
1-0-4-4-0-2	眉
1-0-4-4-0-3	真
1-0-4-4-0-4	眼
1-0-4-4-0-5	着
1-0-4-4-0-6	睇
1-0-4-4-0-7	督
1-0-4-4-0-8	瞌
1-0-4-4-0-9	瞎
1-0-4-4-1-0	知
1-0-4-4-1-1	石
1-0-4-4-1-2	破
1-0-4-4-1-3	砼
1-0-4-4-1-4	硕
1-0-4-4-1-5	硬
1-0-4-4-1-6	碗
1-0-4-4-1-7	碟
1-0-4-4-1-8	碰
1-0-4-4-1-9	磐
1-0-4-4-2-0	磕
1-0-4-4-2-1	礼
1-0-4-4-2-2	社
1-0-4-4-2-3	神
1-0-4-4-2-4	祥
1-0-4-4-2-5	票
1-0-4-4-2-6	祸
1-0-4-4-2-7	禁
1-0-4-4-2-8	福
1-0-4-4-2-9	秋
1-0-4-4-3-0	秘
1-0-4-4-3-1	租
1-0-4-4-3-2	程
1-0-4-4-3-3	穆
1-0-4-4-3-4	穴
1-0-4-4-3-5	穿
1-0-4-4-3-6	窄
1-0-4-4-3-7	窗
1-0-4-4-3-8	窜
1-0-4-4-3-9	立
1-0-4-4-4-0	章
1-0-4-4-4-1	竿
1-0-4-4-4-2	笔
1-0-4-4-4-3	符
1-0-4-4-4-4	笨
1-0-4-4-4-5	第
1-0-4-4-4-6	笼
1-0-4-4-4-7	筐
1-0-4-4-4-8	答
1-0-4-4-4-9	箕
1-0-4-4-5-0	節
1-0-4-4-5-1	籠
1-0-4-4-5-2	朱
1-0-4-4-5-3	籽
1-0-4-4-5-4	粗
1-0-4-4-5-5	粘
1-0-4-4-5-6	粥
1-0-4-4-5-7	粽
1-0-4-4-5-8	糊
1-0-4-4-5-9	系
1-0-4-4-6-0	素
1-0-4-4-6-1	终
1-0-4-4-6-2	緊
1-0-4-4-6-3	練
1-0-4-4-6-4	繁
1-0-4-4-6-5	约
1-0-4-4-6-6	纪
1-0-4-4-6-7	纯
1-0-4-4-6-8	浅
1-0-4-4-6-9	织
1-0-4-4-7-0	结
1-0-4-4-7-1	绕
1-0-4-4-7-2	纶
1-0-4-4-7-3	维
1-0-4-4-7-4	综
1-0-4-4-7-5	缑
1-0-4-4-7-6	缓
1-0-4-4-7-7	缕
1-0-4-4-7-8	偏
1-0-4-4-7-9	缩
1-0-4-4-8-0	缴
1-0-4-4-8-1	缺
1-0-4-4-8-2	罗
1-0-4-4-8-3	罚
1-0-4-4-8-4	翁
1-0-4-4-8-5	翘
1-0-4-4-8-6	翻
1-0-4-4-8-7	老
1-0-4-4-8-8	考
1-0-4-4-8-9	耍
1-0-4-4-9-0	耳
1-0-4-4-9-1	耻
1-0-4-4-9-2	耿
1-0-4-4-9-3	聆
1-0-4-4-9-4	聊
1-0-4-4-9-5	联
1-0-4-4-9-6	聚
1-0-4-4-9-7	聪
1-0-4-4-9-8	肆
1-0-4-4-9-9	肉
1-0-4-5-0-0	省
1-0-4-5-0-1	肚
1-0-4-5-0-2	肛
1-0-4-5-0-3	肠
1-0-4-5-0-4	肤
1-0-4-5-0-5	肯
1-0-4-5-0-6	胀
1-0-4-5-0-7	胜
1-0-4-5-0-8	胥
1-0-4-5-0-9	腔
1-0-4-5-1-0	能
1-0-4-5-1-1	脆
1-0-4-5-1-2	脉
1-0-4-5-1-3	脏
1-0-4-5-1-4	脖
1-0-4-5-1-5	脸
1-0-4-5-1-6	腈
1-0-4-5-1-7	腋
1-0-4-5-1-8	腥
1-0-4-5-1-9	腭
1-0-4-5-2-0	腿
1-0-4-5-2-1	膜
1-0-4-5-2-2	自
1-0-4-5-2-3	至
1-0-4-5-2-4	舅
1-0-4-5-2-5	舟
1-0-4-5-2-6	航
1-0-4-5-2-7	艮
1-0-4-5-2-8	艳
1-0-4-5-2-9	卄
1-0-4-5-3-0	艾
1-0-4-5-3-1	芝
1-0-4-5-3-2	芯
1-0-4-5-3-3	芳
1-0-4-5-3-4	苏
1-0-4-5-3-5	苑
1-0-4-5-3-6	苗
1-0-4-5-3-7	苟
1-0-4-5-3-8	荐
1-0-4-5-3-9	茅
1-0-4-5-4-0	茬
1-0-4-5-4-1	茯
1-0-4-5-4-2	莎
1-0-4-5-4-3	莓
1-0-4-5-4-4	莨
1-0-4-5-4-5	莫
1-0-4-5-4-6	莺
1-0-4-5-4-7	菅
1-0-4-5-4-8	菜
1-0-4-5-4-9	营
1-0-4-5-5-0	蒂
1-0-4-5-5-1	蒙
1-0-4-5-5-2	蒛
1-0-4-5-5-3	蓉
1-0-4-5-5-4	蔼
1-0-4-5-5-5	蕾
1-0-4-5-5-6	薅
1-0-4-5-5-7	薇
1-0-4-5-5-8	薛
1-0-4-5-5-9	蘑
1-0-4-5-6-0	蘸
1-0-4-5-6-1	虫
1-0-4-5-6-2	虹
1-0-4-5-6-3	蚝
1-0-4-5-6-4	蛇
1-0-4-5-6-5	蛙
1-0-4-5-6-6	蛮
1-0-4-5-6-7	蜂
1-0-4-5-6-8	蝎
1-0-4-5-6-9	螃
1-0-4-5-7-0	蠢
1-0-4-5-7-1	血
1-0-4-5-7-2	衍
1-0-4-5-7-3	衢
1-0-4-5-7-4	衣
1-0-4-5-7-5	衫
1-0-4-5-7-6	袖
1-0-4-5-7-7	被
1-0-4-5-7-8	裁
1-0-4-5-7-9	裘
1-0-4-5-8-0	裙
1-0-4-5-8-1	裤
1-0-4-5-8-2	見
1-0-4-5-8-3	觉
1-0-4-5-8-4	誰
1-0-4-5-8-5	订
1-0-4-5-8-6	讨
1-0-4-5-8-7	让
1-0-4-5-8-8	训
1-0-4-5-8-9	讲
1-0-4-5-9-0	设
1-0-4-5-9-1	识
1-0-4-5-9-2	试
1-0-4-5-9-3	诗
1-0-4-5-9-4	诚
1-0-4-5-9-5	话
1-0-4-5-9-6	谈
1-0-4-5-9-7	诺
1-0-4-5-9-8	读
1-0-4-5-9-9	谈
1-0-4-6-0-0	谊
1-0-4-6-0-1	谌
1-0-4-6-0-2	谐
1-0-4-6-0-3	谱
1-0-4-6-0-4	谷
1-0-4-6-0-5	豆
1-0-4-6-0-6	贝
1-0-4-6-0-7	财
1-0-4-6-0-8	贤
1-0-4-6-0-9	贫
1-0-4-6-1-0	购
1-0-4-6-1-1	贷
1-0-4-6-1-2	贺
1-0-4-6-1-3	贼
1-0-4-6-1-4	贾
1-0-4-6-1-5	赁
1-0-4-6-1-6	资
1-0-4-6-1-7	赌
1-0-4-6-1-8	赐
1-0-4-6-1-9	赖
1-0-4-6-2-0	赴
1-0-4-6-2-1	趁
1-0-4-6-2-2	越
1-0-4-6-2-3	趟
1-0-4-6-2-4	趴
1-0-4-6-2-5	跑
1-0-4-6-2-6	距
1-0-4-6-2-7	跟
1-0-4-6-2-8	跪
1-0-4-6-2-9	路
1-0-4-6-3-0	踢
1-0-4-6-3-1	踩
1-0-4-6-3-2	蹭
1-0-4-6-3-3	蹲
1-0-4-6-3-4	蹶
1-0-4-6-3-5	审
1-0-4-6-3-6	載
1-0-4-6-3-7	轧
1-0-4-6-3-8	轨
1-0-4-6-3-9	轩
1-0-4-6-4-0	软
1-0-4-6-4-1	辈
1-0-4-6-4-2	辉
1-0-4-6-4-3	边
1-0-4-6-4-4	达
1-0-4-6-4-5	近
1-0-4-6-4-6	返
1-0-4-6-4-7	运
1-0-4-6-4-8	远
1-0-4-6-4-9	连
1-0-4-6-5-0	迟
1-0-4-6-5-1	迷
1-0-4-6-5-2	逆
1-0-4-6-5-3	追
1-0-4-6-5-4	选
1-0-4-6-5-5	逛
1-0-4-6-5-6	逯
1-0-4-6-5-7	遇
1-0-4-6-5-8	遮
1-0-4-6-5-9	邪
1-0-4-6-6-0	邱
1-0-4-6-6-1	邸
1-0-4-6-6-2	郎
1-0-4-6-6-3	郡
1-0-4-6-6-4	郭
1-0-4-6-6-5	酃
1-0-4-6-6-6	酊
1-0-4-6-6-7	配
1-0-4-6-6-8	酒
1-0-4-6-6-9	酷
1-0-4-6-7-0	醒
1-0-4-6-7-1	釉
1-0-4-6-7-2	里
1-0-4-6-7-3	重
1-0-4-6-7-4	野
1-0-4-6-7-5	錢
1-0-4-6-7-6	针
1-0-4-6-7-7	钙
1-0-4-6-7-8	钣
1-0-4-6-7-9	钥
1-0-4-6-8-0	钻
1-0-4-6-8-1	铁
1-0-4-6-8-2	铟
1-0-4-6-8-3	锁
1-0-4-6-8-4	锄
1-0-4-6-8-5	锤
1-0-4-6-8-6	镇
1-0-4-6-8-7	镕
1-0-4-6-8-8	闪
1-0-4-6-8-9	闷
1-0-4-6-9-0	闻
1-0-4-6-9-1	阎
1-0-4-6-9-2	阔
1-0-4-6-9-3	队
1-0-4-6-9-4	防
1-0-4-6-9-5	阳
1-0-4-6-9-6	阴
1-0-4-6-9-7	际
1-0-4-6-9-8	陇
1-0-4-6-9-9	阵
1-0-4-7-0-0	降
1-0-4-7-0-1	限
1-0-4-7-0-2	陶
1-0-4-7-0-3	隔
1-0-4-7-0-4	障
1-0-4-7-0-5	雌
